日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2020-10-09,09:30:00,基金,50ETF(510050.XSHG),买,市价单,30000股,3.327,99810,30000股,-,0,14.97,全部成交,2020-10-09 09:30:00
2020-10-20,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-30000股,3.398,-101940,-30000股,-,2130,15.29,全部成交,2020-10-20 09:30:00
2020-10-20,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,39300股,2.594,101944.2,39300股,-,0,15.29,全部成交,2020-10-20 09:30:00
2020-11-12,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-39300股,2.602,-102258.6,-39300股,-,314.4,15.34,全部成交,2020-11-12 09:30:00
2020-11-12,09:30:00,基金,50ETF(510050.XSHG),买,市价单,29500股,3.465,102217.5,29500股,-,0,15.33,全部成交,2020-11-12 09:30:00
2020-12-21,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-29500股,3.506,-103427,-29500股,-,2714,15.51,全部成交,2020-12-21 09:30:00
2020-12-21,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,39100股,2.687,105061.7,39100股,-,0,15.76,全部成交,2020-12-21 09:30:00
2021-02-09,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-39100股,3.171,-123986.1,-39100股,-,18924.4,18.6,全部成交,2021-02-09 09:30:00
2021-02-09,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,27200股,4.549,123732.8,27200股,-,0,18.56,全部成交,2021-02-09 09:30:00
2021-02-10,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-27200股,4.538,-123433.6,-27200股,-,-299.2,18.52,全部成交,2021-02-10 09:30:00
2021-02-10,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,38200股,3.23,123386,38200股,-,0,18.51,全部成交,2021-02-10 09:30:00
2021-02-22,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-38200股,3.156,-120559.2,-38200股,-,-2826.8,18.08,全部成交,2021-02-22 09:30:00
2021-02-22,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,26600股,4.524,120338.4,26600股,-,0,18.05,全部成交,2021-02-22 09:30:00
2021-03-04,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-26600股,4.265,-113449,-26600股,-,-6889.4,17.02,全部成交,2021-03-04 09:30:00
2021-03-04,09:30:00,基金,50ETF(510050.XSHG),买,市价单,30200股,3.765,113703,30200股,-,0,17.06,全部成交,2021-03-04 09:30:00
2021-03-10,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-30200股,3.547,-107119.4,-30200股,-,-6583.6,16.07,全部成交,2021-03-10 09:30:00
2021-03-10,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,25100股,4.271,107202.1,25100股,-,0,16.08,全部成交,2021-03-10 09:30:00
2021-03-22,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-25100股,4.274,-107277.4,-25100股,-,75.3,16.09,全部成交,2021-03-22 09:30:00
2021-03-22,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,29900股,3.581,107071.9,29900股,-,0,16.06,全部成交,2021-03-22 09:30:00
2021-03-29,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-29900股,3.58,-107042,-29900股,-,-29.9,16.06,全部成交,2021-03-29 09:30:00
2021-03-29,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,24800股,4.31,106888,24800股,-,0,16.03,全部成交,2021-03-29 09:30:00
