日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2016-01-04,09:30:00,股票,大连电瓷(002606.XSHE),买,市价单,55600股,18,1000800,55600股,-,0,300.24,全部成交,2016-01-04 09:30:00
2016-01-04,09:30:00,股票,高盟新材(300200.XSHE),买,市价单,57500股,17.4,1000500,57500股,-,0,300.15,全部成交,2016-01-04 09:30:00
2016-01-04,09:30:00,股票,弘业股份(600128.XSHG),买,市价单,64200股,15.6,1001520,64200股,-,0,300.46,全部成交,2016-01-04 09:30:00
2016-01-04,09:30:00,股票,兰州民百(600738.XSHG),买,市价单,90600股,11.06,1002036,90600股,-,0,300.61,全部成交,2016-01-04 09:30:00
2016-01-04,09:30:00,股票,金自天正(600560.XSHG),买,市价单,53800股,18.47,993686,53800股,-,0,298.11,全部成交,2016-01-04 09:30:00
2016-01-11,09:30:00,股票,弘业股份(600128.XSHG),卖,市价单,-64200股,13.26,-851292,-64200股,-,-150228,1106.68,全部成交,2016-01-11 09:30:00
2016-01-11,09:30:00,股票,兰州民百(600738.XSHG),卖,市价单,-90600股,9.38,-849828,-90600股,-,-152208,1104.78,全部成交,2016-01-11 09:30:00
2016-01-11,09:30:00,股票,金自天正(600560.XSHG),卖,市价单,-53800股,14.98,-805924,-53800股,-,-187762,1047.7,全部成交,2016-01-11 09:30:00
2016-01-11,09:30:00,股票,新亚制程(002388.XSHE),买,市价单,102100股,8.2,837220,102100股,-,0,251.17,全部成交,2016-01-11 09:30:00
2016-01-11,09:30:00,股票,茂硕电源(002660.XSHE),买,市价单,71300股,11.72,835636,71300股,-,0,250.69,全部成交,2016-01-11 09:30:00
2016-01-11,09:30:00,股票,金花股份(600080.XSHG),买,市价单,77600股,10.72,831872,77600股,-,0,249.56,全部成交,2016-01-11 09:30:00
2016-01-18,09:30:00,股票,茂硕电源(002660.XSHE),卖,市价单,-71300股,10.28,-732964,-71300股,-,-102672,952.85,全部成交,2016-01-18 09:30:00
2016-01-18,09:30:00,股票,兰州民百(600738.XSHG),买,市价单,95900股,7.64,732676,95900股,-,0,219.8,全部成交,2016-01-18 09:30:00
2016-01-25,09:30:00,股票,新亚制程(002388.XSHE),卖,市价单,-102100股,7.9,-806590,-102100股,-,-30630,1048.57,全部成交,2016-01-25 09:30:00
2016-01-25,09:30:00,股票,弘业股份(600128.XSHG),买,市价单,66000股,12.18,803880,66000股,-,0,241.16,全部成交,2016-01-25 09:30:00
2016-02-01,09:30:00,股票,兰州民百(600738.XSHG),卖,市价单,-95900股,7.96,-763364,-95900股,-,30688,992.37,全部成交,2016-02-01 09:30:00
2016-02-01,09:30:00,股票,宁波中百(600857.XSHG),买,市价单,63200股,12.06,762192,63200股,-,0,228.66,全部成交,2016-02-01 09:30:00
2016-02-15,09:30:00,股票,宁波中百(600857.XSHG),卖,市价单,-63200股,12.82,-810224,-63200股,-,48032,1053.29,全部成交,2016-02-15 09:30:00
2016-02-15,09:30:00,股票,京能置业(600791.XSHG),买,市价单,132400股,6.12,810288,132400股,-,0,243.09,全部成交,2016-02-15 09:30:00
2016-03-07,09:30:00,股票,京能置业(600791.XSHG),卖,市价单,-132400股,6.78,-897672,-132400股,-,87384,1166.97,全部成交,2016-03-07 09:30:00
2016-03-07,09:30:00,股票,兰州民百(600738.XSHG),买,市价单,116800股,7.68,897024,116800股,-,0,269.11,全部成交,2016-03-07 09:30:00
2016-03-14,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-77600股,10.08,-782208,-77600股,-,-49664,1016.87,全部成交,2016-03-14 09:30:00
2016-03-14,09:30:00,股票,兰州民百(600738.XSHG),卖,市价单,-116800股,7.78,-908704,-116800股,-,11680,1181.32,全部成交,2016-03-14 09:30:00
2016-03-14,09:30:00,股票,京能置业(600791.XSHG),买,市价单,131600股,6.43,846188,131600股,-,0,253.86,全部成交,2016-03-14 09:30:00
2016-03-14,09:30:00,股票,海源机械(002529.XSHE),买,市价单,57400股,14.64,840336,57400股,-,0,252.1,全部成交,2016-03-14 09:30:00
2016-03-21,09:30:00,股票,大连电瓷(002606.XSHE),卖,市价单,-55600股,16.38,-910728,-55600股,-,-90072,1183.95,全部成交,2016-03-21 09:30:00
2016-03-21,09:30:00,股票,海源机械(002529.XSHE),卖,市价单,-57400股,16.9,-970060,-57400股,-,129724,1261.08,全部成交,2016-03-21 09:30:00
2016-03-21,09:30:00,股票,兰州民百(600738.XSHG),买,市价单,111100股,8.46,939906,111100股,-,0,281.97,全部成交,2016-03-21 09:30:00
2016-03-21,09:30:00,股票,金花股份(600080.XSHG),买,市价单,90900股,10.32,938088,90900股,-,0,281.43,全部成交,2016-03-21 09:30:00
2016-03-28,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-90900股,11.36,-1032624,-90900股,-,94536,1342.41,全部成交,2016-03-28 09:30:00
2016-03-28,09:30:00,股票,通源石油(300164.XSHE),买,市价单,0股,--,0,132300股,-,0,0,已撤单,2016-03-28 09:30:00
2016-03-28,09:30:00,股票,青龙管业(002457.XSHE),买,市价单,103100股,10.01,1032031,103100股,-,0,309.61,全部成交,2016-03-28 09:30:00
2016-04-05,09:30:00,股票,青龙管业(002457.XSHE),卖,市价单,-103100股,10.58,-1090798,-103100股,-,58767,1418.04,全部成交,2016-04-05 09:30:00
2016-04-05,09:30:00,股票,通源石油(300164.XSHE),买,市价单,135700股,8.02,1088314,135700股,-,0,326.49,全部成交,2016-04-05 09:30:00
2016-04-18,09:30:00,股票,京能置业(600791.XSHG),卖,市价单,-131600股,7.98,-1050168,-131600股,-,203980,1365.22,全部成交,2016-04-18 09:30:00
2016-04-18,09:30:00,股票,丰乐种业(000713.XSHE),买,市价单,93500股,11.22,1049070,93500股,-,0,314.72,全部成交,2016-04-18 09:30:00
2016-04-25,09:30:00,股票,弘业股份(600128.XSHG),卖,市价单,-66000股,13.56,-894960,-66000股,-,91080,1163.45,全部成交,2016-04-25 09:30:00
2016-04-25,09:30:00,股票,红星发展(600367.XSHG),买,市价单,84800股,10.52,892096,84800股,-,0,267.63,全部成交,2016-04-25 09:30:00
2016-05-03,09:30:00,股票,通源石油(300164.XSHE),卖,市价单,-135700股,7.98,-1082886,-135700股,-,-5428,1407.75,全部成交,2016-05-03 09:30:00
2016-05-03,09:30:00,股票,丰原药业(000153.XSHE),买,市价单,104900股,10.32,1082568,104900股,-,0,324.77,全部成交,2016-05-03 09:30:00
2016-05-30,09:30:00,股票,红星发展(600367.XSHG),卖,市价单,-84800股,11,-932800,-84800股,-,40704,1212.64,全部成交,2016-05-30 09:30:00
2016-05-30,09:30:00,股票,友好集团(600778.XSHG),买,市价单,99800股,9.42,940116,99800股,-,0,282.03,全部成交,2016-05-30 09:30:00
2016-06-20,09:30:00,股票,高盟新材(300200.XSHE),卖,市价单,-57500股,15.01,-863075,-57500股,-,-125925,1122,全部成交,2016-06-20 09:30:00
2016-06-20,09:30:00,股票,友好集团(600778.XSHG),卖,市价单,-99800股,9.3,-928140,-99800股,-,-11976,1206.58,全部成交,2016-06-20 09:30:00
2016-06-20,09:30:00,股票,金花股份(600080.XSHG),买,市价单,85800股,10.44,895752,85800股,-,0,268.73,全部成交,2016-06-20 09:30:00
2016-06-20,09:30:00,股票,宏达高科(002144.XSHE),买,市价单,47400股,18.77,889698,47400股,-,0,266.91,全部成交,2016-06-20 09:30:00
2016-06-27,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-85800股,11.16,-957528,-85800股,-,61776,1244.79,全部成交,2016-06-27 09:30:00
2016-06-27,09:30:00,股票,宏达高科(002144.XSHE),卖,市价单,-47400股,19.2,-910080,-47400股,-,20382,1183.1,全部成交,2016-06-27 09:30:00
2016-06-27,09:30:00,股票,宁波中百(600857.XSHG),买,市价单,65600股,14.26,935456,65600股,-,0,280.64,全部成交,2016-06-27 09:30:00
2016-06-27,09:30:00,股票,茂化实华(000637.XSHE),买,市价单,150900股,6.2,935580,150900股,-,0,280.67,全部成交,2016-06-27 09:30:00
2016-08-08,09:30:00,股票,茂化实华(000637.XSHE),卖,市价单,-150900股,6.52,-983868,-150900股,-,48288,1279.03,全部成交,2016-08-08 09:30:00
2016-08-08,09:30:00,股票,万向德农(600371.XSHG),买,市价单,65000股,15.06,978900,65000股,-,0,293.67,全部成交,2016-08-08 09:30:00
2016-08-22,09:30:00,股票,丰乐种业(000713.XSHE),卖,市价单,-93500股,11.4,-1065900,-93500股,-,18700,1385.67,全部成交,2016-08-22 09:30:00
2016-08-22,09:30:00,股票,万向德农(600371.XSHG),卖,市价单,-65000股,15.96,-1037400,-65000股,-,58500,1348.62,全部成交,2016-08-22 09:30:00
