时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2016-01-04 16:00:00,-8.66,-9.63,0,-481675.56,4998542,0,-1.06
2016-01-05 16:00:00,-10.95,-12.75,0,-155673,0,0,-2.02
2016-01-06 16:00:00,-8.52,-9.16,179321,0,0,0,-0.7
2016-01-07 16:00:00,-16.56,-18.14,0,-448734,0,0,-1.89
2016-01-08 16:00:00,-16.38,-15.91,111074,0,0,0,0.56
2016-01-11 16:00:00,-22.7,-24.55,0,-431804.58,2504728,-2507044,-2.39
2016-01-12 16:00:00,-22.86,-23.68,43590,0,0,0,-1.06
2016-01-13 16:00:00,-26.17,-27.73,0,-202779,0,0,-2.11
2016-01-14 16:00:00,-23.14,-24.72,150719,0,0,0,-2.06
2016-01-15 16:00:00,-25.87,-28.73,0,-200566,0,0,-3.86
2016-01-18 16:00:00,-24.06,-26.03,134809.34,0,732676,-732964,-2.59
2016-01-19 16:00:00,-20.97,-21.38,232675,0,0,0,-0.52
2016-01-20 16:00:00,-21.6,-21.53,0,-7504,0,0,0.09
2016-01-21 16:00:00,-25.15,-25.4,0,-193643,0,0,-0.33
2016-01-22 16:00:00,-23.93,-23.29,105567,0,0,0,0.84
2016-01-25 16:00:00,-22.93,-21,114618.27,0,803880,-806590,2.5
2016-01-26 16:00:00,-28.91,-28.18,0,-358888,0,0,1.03
2016-01-27 16:00:00,-29.65,-28.94,0,-37943,0,0,1.01
2016-01-28 16:00:00,-33.1,-32.08,0,-157277,0,0,1.52
2016-01-29 16:00:00,-30.42,-28.32,188334,0,0,0,3.02
2016-02-01 16:00:00,-31.29,-28.76,0,-22351.03,762192,-763364,3.68
2016-02-02 16:00:00,-28.62,-25.79,148877,0,0,0,3.96
2016-02-03 16:00:00,-28.11,-24.31,73788,0,0,0,5.29
2016-02-04 16:00:00,-26.45,-23.05,62817,0,0,0,4.62
2016-02-05 16:00:00,-27.28,-23.61,0,-28037,0,0,5.05
2016-02-15 16:00:00,-27.21,-23.53,3969.62,0,810288,-810224,5.06
2016-02-16 16:00:00,-23.97,-20.05,174367,0,0,0,5.16
2016-02-17 16:00:00,-22.73,-19.32,36342,0,0,0,4.41
2016-02-18 16:00:00,-22.97,-19.72,0,-19895,0,0,4.22
2016-02-19 16:00:00,-22.38,-17.6,105928,0,0,0,6.16
2016-02-22 16:00:00,-20.79,-15.82,89187,0,0,0,6.27
2016-02-23 16:00:00,-21.26,-16.3,0,-24043,0,0,6.3
2016-02-24 16:00:00,-21.2,-14.83,73096,0,0,0,8.08
2016-02-25 16:00:00,-27.43,-20.26,0,-271102,0,0,9.88
2016-02-26 16:00:00,-27.77,-19.75,25198,0,0,0,11.1
2016-02-29 16:00:00,-32.32,-23.16,0,-170375,0,0,13.53
2016-03-01 16:00:00,-30.8,-21.81,67485,0,0,0,12.99
2016-03-02 16:00:00,-27.34,-18.64,158686,0,0,0,11.97
2016-03-03 16:00:00,-27.2,-18.41,11487,0,0,0,12.07
2016-03-04 16:00:00,-30.11,-20.37,0,-98329,0,0,13.94
2016-03-07 16:00:00,-28.39,-19.04,66641.92,0,897024,-897672,13.06
