日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2016-01-04,股票,大连电瓷(002606.XSHE),多,55600股,0股,16.2,900720,-100080,18,-,0,-100080,55600股,-10%,4518324.44,19.93%
2016-01-04,股票,高盟新材(300200.XSHE),多,57500股,0股,15.62,898150,-102350,17.4,-,0,-102350,57500股,-10.23%,4518324.44,19.88%
2016-01-04,股票,弘业股份(600128.XSHG),多,64200股,0股,14.14,907788,-93732,15.6,-,0,-93732,64200股,-9.36%,4518324.44,20.09%
2016-01-04,股票,兰州民百(600738.XSHG),多,90600股,0股,10.08,913248,-88788,11.06,-,0,-88788,90600股,-8.86%,4518324.44,20.21%
2016-01-04,股票,金自天正(600560.XSHG),多,53800股,0股,16.7,898460,-95226,18.47,-,0,-95226,53800股,-9.58%,4518324.44,19.88%
2016-01-04,,Cash,,,,,-41.56,,,,,,,,0
2016-01-05,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.59,866804,-133996,18,-,0,-33916,0股,-13.39%,4362651.44,19.87%
2016-01-05,股票,高盟新材(300200.XSHE),多,57500股,57500股,14.45,830875,-169625,17.4,-,0,-67275,0股,-16.95%,4362651.44,19.05%
2016-01-05,股票,弘业股份(600128.XSHG),多,64200股,64200股,14.02,900084,-101436,15.6,-,0,-7704,0股,-10.13%,4362651.44,20.63%
2016-01-05,股票,兰州民百(600738.XSHG),多,90600股,90600股,10.11,915966,-86070,11.06,-,0,2718,0股,-8.59%,4362651.44,21%
2016-01-05,股票,金自天正(600560.XSHG),多,53800股,53800股,15.78,848964,-144722,18.47,-,0,-49496,0股,-14.56%,4362651.44,19.46%
2016-01-05,,Cash,,,,,-41.56,,,,,,,,0
2016-01-06,股票,大连电瓷(002606.XSHE),多,55600股,55600股,16.3,906280,-94520,18,-,0,39476,0股,-9.44%,4541972.44,19.95%
2016-01-06,股票,高盟新材(300200.XSHE),多,57500股,57500股,15,862500,-138000,17.4,-,0,31625,0股,-13.79%,4541972.44,18.99%
2016-01-06,股票,弘业股份(600128.XSHG),多,64200股,64200股,14.66,941172,-60348,15.6,-,0,41088,0股,-6.03%,4541972.44,20.72%
2016-01-06,股票,兰州民百(600738.XSHG),多,90600股,90600股,10.56,956736,-45300,11.06,-,0,40770,0股,-4.52%,4541972.44,21.06%
2016-01-06,股票,金自天正(600560.XSHG),多,53800股,53800股,16.27,875326,-118360,18.47,-,0,26362,0股,-11.91%,4541972.44,19.27%
2016-01-06,,Cash,,,,,-41.56,,,,,,,,0
2016-01-07,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.68,816208,-184592,18,-,0,-90072,0股,-18.44%,4093238.44,19.94%
2016-01-07,股票,高盟新材(300200.XSHE),多,57500股,57500股,13.5,776250,-224250,17.4,-,0,-86250,0股,-22.41%,4093238.44,18.96%
2016-01-07,股票,弘业股份(600128.XSHG),多,64200股,64200股,13.22,848724,-152796,15.6,-,0,-92448,0股,-15.26%,4093238.44,20.73%
2016-01-07,股票,兰州民百(600738.XSHG),多,90600股,90600股,9.5,860700,-141336,11.06,-,0,-96036,0股,-14.1%,4093238.44,21.03%
2016-01-07,股票,金自天正(600560.XSHG),多,53800股,53800股,14.71,791398,-202288,18.47,-,0,-83928,0股,-20.36%,4093238.44,19.33%
2016-01-07,,Cash,,,,,-41.56,,,,,,,,0
2016-01-08,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.14,841784,-159016,18,-,0,25576,0股,-15.89%,4204312.44,20.02%
2016-01-08,股票,高盟新材(300200.XSHE),多,57500股,57500股,13.18,757850,-242650,17.4,-,0,-18400,0股,-24.25%,4204312.44,18.03%
2016-01-08,股票,弘业股份(600128.XSHG),多,64200股,64200股,13.82,887244,-114276,15.6,-,0,38520,0股,-11.41%,4204312.44,21.1%
2016-01-08,股票,兰州民百(600738.XSHG),多,90600股,90600股,9.8,887880,-114156,11.06,-,0,27180,0股,-11.39%,4204312.44,21.12%
2016-01-08,股票,金自天正(600560.XSHG),多,53800股,53800股,15.42,829596,-164090,18.47,-,0,38198,0股,-16.51%,4204312.44,19.73%
2016-01-08,,Cash,,,,,-41.56,,,,,,,,0
2016-01-11,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.98,777288,-223512,18,-,0,-64496,0股,-22.33%,3772507.86,20.6%
2016-01-11,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.86,681950,-318550,17.4,-,0,-75900,0股,-31.84%,3772507.86,18.08%
2016-01-11,股票,新亚制程(002388.XSHE),多,102100股,0股,7.52,767792,-69428,8.2,-,0,-69428,102100股,-8.29%,3772507.86,20.35%
2016-01-11,股票,茂硕电源(002660.XSHE),多,71300股,0股,10.86,774318,-61318,11.72,-,0,-61318,71300股,-7.34%,3772507.86,20.53%
2016-01-11,股票,金花股份(600080.XSHG),多,77600股,0股,9.96,772896,-58976,10.72,-,0,-58976,77600股,-7.09%,3772507.86,20.49%
2016-01-11,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-12,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.26,792856,-207944,18,-,0,15568,0股,-20.78%,3816097.86,20.78%
2016-01-12,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.14,698050,-302450,17.4,-,0,16100,0股,-30.23%,3816097.86,18.29%
2016-01-12,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.44,759624,-77596,8.2,-,0,-8168,0股,-9.27%,3816097.86,19.91%
2016-01-12,股票,茂硕电源(002660.XSHE),多,71300股,71300股,11.12,792856,-42780,11.72,-,0,18538,0股,-5.12%,3816097.86,20.78%
2016-01-12,股票,金花股份(600080.XSHG),多,77600股,77600股,9.98,774448,-57424,10.72,-,0,1552,0股,-6.9%,3816097.86,20.29%
2016-01-12,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-13,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.69,761164,-239636,18,-,0,-31692,0股,-23.94%,3613318.86,21.07%
2016-01-13,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.42,656650,-343850,17.4,-,0,-41400,0股,-34.37%,3613318.86,18.17%
2016-01-13,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.15,730015,-107205,8.2,-,0,-29609,0股,-12.8%,3613318.86,20.2%
2016-01-13,股票,茂硕电源(002660.XSHE),多,71300股,71300股,10.5,748650,-86986,11.72,-,0,-44206,0股,-10.41%,3613318.86,20.72%
2016-01-13,股票,金花股份(600080.XSHG),多,77600股,77600股,9.26,718576,-113296,10.72,-,0,-55872,0股,-13.62%,3613318.86,19.89%
2016-01-13,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-14,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.95,775620,-225180,18,-,0,14456,0股,-22.5%,3764037.86,20.61%
2016-01-14,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.01,690575,-309925,17.4,-,0,33925,0股,-30.98%,3764037.86,18.35%
2016-01-14,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.44,759624,-77596,8.2,-,0,29609,0股,-9.27%,3764037.86,20.18%
2016-01-14,股票,茂硕电源(002660.XSHE),多,71300股,71300股,11.15,794995,-40641,11.72,-,0,46345,0股,-4.86%,3764037.86,21.12%
2016-01-14,股票,金花股份(600080.XSHG),多,77600股,77600股,9.6,744960,-86912,10.72,-,0,26384,0股,-10.45%,3764037.86,19.79%
2016-01-14,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-15,股票,大连电瓷(002606.XSHE),多,55600股,55600股,12.84,713904,-286896,18,-,0,-61716,0股,-28.67%,3563471.86,20.03%
2016-01-15,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.52,662400,-338100,17.4,-,0,-28175,0股,-33.79%,3563471.86,18.59%
2016-01-15,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.07,721847,-115373,8.2,-,0,-37777,0股,-13.78%,3563471.86,20.26%
2016-01-15,股票,茂硕电源(002660.XSHE),多,71300股,71300股,10.65,759345,-76291,11.72,-,0,-35650,0股,-9.13%,3563471.86,21.31%
2016-01-15,股票,金花股份(600080.XSHG),多,77600股,77600股,9.12,707712,-124160,10.72,-,0,-37248,0股,-14.93%,3563471.86,19.86%
2016-01-15,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-18,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.69,761164,-239636,18,-,0,47260,0股,-23.94%,3698281.21,20.58%
2016-01-18,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.09,695175,-305325,17.4,-,0,32775,0股,-30.52%,3698281.21,18.8%
2016-01-18,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.24,739204,-98016,8.2,-,0,17357,0股,-11.71%,3698281.21,19.99%
2016-01-18,股票,金花股份(600080.XSHG),多,77600股,77600股,9.5,737200,-94672,10.72,-,0,29488,0股,-11.38%,3698281.21,19.93%
2016-01-18,股票,兰州民百(600738.XSHG),多,95900股,0股,8.01,768159,35483,7.64,-,0,35483,95900股,4.84%,3698281.21,20.77%
2016-01-18,,Cash,,,,,-2620.79,,,,,,,,0
2016-01-19,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.37,798972,-201828,18,-,0,37808,0股,-20.17%,3930956.21,20.33%
2016-01-19,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.88,740600,-259900,17.4,-,0,45425,0股,-25.98%,3930956.21,18.84%
