bucket,start_day,end_day,count,percentage
1-10,1,10,82,5.2767
11-20,11,20,225,14.4788
21-30,21,30,214,13.7709
31-40,31,40,184,11.8404
41-50,41,50,173,11.1326
51-60,51,60,114,7.3359
61-70,61,70,76,4.8906
71-80,71,80,83,5.3411
81-90,81,90,84,5.4054
91-100,91,100,69,4.4402
101-110,101,110,46,2.9601
111-120,111,120,53,3.4106
121-130,121,130,40,2.5740
131-140,131,140,33,2.1236
141-150,141,150,28,1.8018
151-160,151,160,11,0.7079
161-170,161,170,5,0.3218
171-180,171,180,3,0.1931
181-190,181,190,9,0.5792
191-200,191,200,7,0.4505
201-210,201,210,1,0.0644
211-220,211,220,0,0.0000
221-230,221,230,0,0.0000
231-240,231,240,0,0.0000
241-250,241,250,0,0.0000
251-260,251,260,0,0.0000
261-270,261,270,0,0.0000
271-280,271,280,0,0.0000
281-290,281,290,1,0.0644
no_breach_yet,,,13,0.8366
