trade_date,open,high,low,close
2019-12-31,1000.00,1000.00,1000.00,1000.00
2020-01-02,1005.62,1019.91,1005.62,1019.72
2020-01-03,1021.67,1029.07,1018.68,1024.48
2020-01-06,1020.00,1040.14,1020.00,1027.28
2020-01-07,1025.66,1043.08,1019.86,1043.08
2020-01-08,1035.84,1059.44,1034.51,1051.16
2020-01-09,1060.58,1081.40,1060.58,1078.31
2020-01-10,1082.31,1088.54,1076.44,1076.44
2020-01-13,1076.76,1105.85,1069.78,1105.85
2020-01-14,1107.78,1133.90,1107.78,1118.31
2020-01-15,1113.25,1120.35,1105.58,1114.77
2020-01-16,1116.51,1161.48,1116.51,1154.30
2020-01-17,1159.37,1252.56,1159.37,1238.66
2020-01-20,1239.44,1270.36,1208.69,1240.51
2020-01-21,1233.65,1247.84,1194.80,1195.01
2020-01-22,1178.78,1247.61,1157.29,1244.53
2020-01-23,1219.23,1262.44,1177.09,1202.10
2020-02-03,1018.28,1082.79,1015.60,1030.55
2020-02-04,1049.96,1153.23,1049.96,1153.23
2020-02-05,1166.97,1240.37,1166.97,1203.61
2020-02-06,1191.73,1251.84,1191.73,1238.76
2020-02-07,1240.04,1307.76,1234.23,1307.76
2020-02-10,1310.53,1336.53,1293.43,1322.25
2020-02-11,1318.42,1318.42,1266.21,1283.57
2020-02-12,1274.80,1360.55,1274.80,1348.70
2020-02-13,1360.13,1409.68,1353.05,1360.71
2020-02-14,1359.37,1382.96,1305.97,1327.22
2020-02-17,1332.97,1381.55,1332.97,1381.55
2020-02-18,1381.58,1404.71,1372.53,1399.38
2020-02-19,1398.78,1412.17,1373.44,1373.44
2020-02-20,1377.76,1390.02,1321.73,1348.34
2020-02-21,1337.56,1373.67,1337.56,1346.86
2020-02-24,1341.99,1359.23,1328.75,1351.71
2020-02-25,1312.48,1371.58,1312.48,1367.37
2020-02-26,1348.08,1361.01,1286.35,1288.24
2020-02-27,1293.19,1293.19,1251.45,1264.94
2020-02-28,1206.86,1231.09,1187.10,1191.06
2020-03-02,1202.96,1259.08,1194.94,1252.62
2020-03-03,1278.27,1332.84,1272.06,1285.03
2020-03-04,1268.83,1277.69,1226.80,1255.72
2020-03-05,1277.71,1277.71,1246.71,1264.79
2020-03-06,1246.10,1255.07,1237.62,1243.37
2020-03-09,1216.04,1223.25,1171.86,1171.86
2020-03-10,1148.40,1216.33,1135.21,1216.33
2020-03-11,1218.52,1233.43,1184.71,1184.71
2020-03-12,1161.92,1177.36,1151.79,1167.07
2020-03-13,1103.96,1187.70,1103.96,1175.28
2020-03-16,1188.08,1200.46,1115.08,1115.08
2020-03-17,1132.95,1141.39,1079.84,1131.55
2020-03-18,1145.30,1173.23,1115.02,1115.02
2020-03-19,1116.26,1133.70,1091.24,1128.97
2020-03-20,1140.09,1148.09,1114.29,1127.37
2020-03-23,1092.50,1096.40,1037.53,1039.88
2020-03-24,1067.01,1071.34,1020.25,1060.84
2020-03-25,1097.31,1110.10,1094.16,1101.32
2020-03-26,1093.33,1111.48,1091.00,1095.34
2020-03-27,1109.54,1110.54,1082.93,1084.51
2020-03-30,1062.90,1062.90,1021.50,1035.83
2020-03-31,1048.74,1055.27,1027.22,1029.75
2020-04-01,1026.58,1060.71,1026.58,1037.93
2020-04-02,1033.56,1094.83,1033.56,1094.83
2020-04-03,1089.24,1095.31,1074.19,1080.53
2020-04-07,1109.61,1117.79,1108.78,1111.65
2020-04-08,1104.96,1117.81,1100.31,1104.15
2020-04-09,1107.47,1110.06,1094.92,1101.28
2020-04-10,1100.37,1100.37,1054.35,1058.44
