bucket,start_day,end_day,count,percentage
1-10,1,10,360,6.9257
11-20,11,20,680,13.0820
21-30,21,30,721,13.8707
31-40,31,40,537,10.3309
41-50,41,50,467,8.9842
51-60,51,60,344,6.6179
61-70,61,70,327,6.2909
71-80,71,80,248,4.7711
81-90,81,90,251,4.8288
91-100,91,100,165,3.1743
101-110,101,110,115,2.2124
111-120,111,120,129,2.4817
121-130,121,130,118,2.2701
131-140,131,140,94,1.8084
141-150,141,150,97,1.8661
151-160,151,160,48,0.9234
161-170,161,170,54,1.0389
171-180,171,180,46,0.8850
181-190,181,190,45,0.8657
191-200,191,200,40,0.7695
201-210,201,210,44,0.8465
211-220,211,220,36,0.6926
221-230,221,230,29,0.5579
231-240,231,240,27,0.5194
241-250,241,250,14,0.2693
251-260,251,260,25,0.4810
261-270,261,270,21,0.4040
271-280,271,280,15,0.2886
281-290,281,290,16,0.3078
291-300,291,300,7,0.1347
301-310,301,310,5,0.0962
311-320,311,320,2,0.0385
321-330,321,330,5,0.0962
331-340,331,340,3,0.0577
341-350,341,350,1,0.0192
351-360,351,360,6,0.1154
361-370,361,370,5,0.0962
371-380,371,380,0,0.0000
381-390,381,390,0,0.0000
391-400,391,400,6,0.1154
401-410,401,410,2,0.0385
411-420,411,420,1,0.0192
no_breach_yet,,,42,0.8080
