trade_date,natural_days_to_10pct_close_move,breach_date,breach_close
2005-01-04,86,2005-03-30,869.58
2005-01-05,28,2005-02-01,905.80
2005-01-06,83,2005-03-29,904.82
2005-01-07,26,2005-02-01,905.80
2005-01-10,23,2005-02-01,905.80
2005-01-11,21,2005-01-31,924.17
2005-01-12,21,2005-02-01,905.80
2005-01-13,19,2005-01-31,924.17
2005-01-14,19,2005-02-01,905.80
2005-01-17,73,2005-03-30,869.58
2005-01-18,15,2005-02-01,905.80
2005-01-19,71,2005-03-30,869.58
2005-01-20,70,2005-03-30,869.58
2005-01-21,68,2005-03-29,904.82
2005-01-24,8,2005-01-31,924.17
2005-01-25,8,2005-02-01,905.80
2005-01-26,7,2005-02-01,905.80
2005-01-27,63,2005-03-30,869.58
2005-01-28,83,2005-04-20,844.93
2005-01-31,24,2005-02-23,1032.90
2005-02-01,22,2005-02-22,1015.66
2005-02-02,78,2005-04-20,844.93
2005-02-03,21,2005-02-23,1032.90
2005-02-04,76,2005-04-20,844.93
2005-02-16,43,2005-03-30,869.58
2005-02-17,42,2005-03-30,869.58
2005-02-18,61,2005-04-19,867.23
2005-02-21,38,2005-03-30,869.58
2005-02-22,35,2005-03-28,911.35
2005-02-23,28,2005-03-22,915.94
2005-02-24,27,2005-03-22,915.94
2005-02-25,26,2005-03-22,915.94
2005-02-28,23,2005-03-22,915.94
2005-03-01,22,2005-03-22,915.94
2005-03-02,27,2005-03-28,911.35
2005-03-03,20,2005-03-22,915.94
2005-03-04,26,2005-03-29,904.82
2005-03-07,22,2005-03-28,911.35
2005-03-08,15,2005-03-22,915.94
2005-03-09,14,2005-03-22,915.94
2005-03-10,20,2005-03-29,904.82
2005-03-11,18,2005-03-28,911.35
2005-03-14,16,2005-03-29,904.82
2005-03-15,16,2005-03-30,869.58
2005-03-16,15,2005-03-30,869.58
2005-03-17,14,2005-03-30,869.58
2005-03-18,34,2005-04-20,844.93
2005-03-21,31,2005-04-20,844.93
2005-03-22,32,2005-04-22,806.65
2005-03-23,31,2005-04-22,806.65
2005-03-24,29,2005-04-21,826.05
2005-03-25,28,2005-04-21,826.05
2005-03-28,26,2005-04-22,806.65
2005-03-29,25,2005-04-22,806.65
2005-03-30,41,2005-05-09,771.08
2005-03-31,26,2005-04-25,789.54
2005-04-01,22,2005-04-22,806.65
2005-04-04,19,2005-04-22,806.65
2005-04-05,21,2005-04-25,789.54
2005-04-06,17,2005-04-22,806.65
2005-04-07,16,2005-04-22,806.65
2005-04-08,14,2005-04-21,826.05
2005-04-11,11,2005-04-21,826.05
2005-04-12,11,2005-04-22,806.65
2005-04-13,9,2005-04-21,826.05
2005-04-14,9,2005-04-22,806.65
2005-04-15,11,2005-04-25,789.54
2005-04-18,22,2005-05-09,771.08
2005-04-19,21,2005-05-09,771.08
2005-04-20,34,2005-05-23,758.68
2005-04-21,72,2005-07-01,743.12
2005-04-22,78,2005-07-08,706.74
2005-04-25,75,2005-07-08,706.74
2005-04-26,74,2005-07-08,706.74
2005-04-27,73,2005-07-08,706.74
2005-04-28,69,2005-07-05,729.36
2005-04-29,71,2005-07-08,706.74
2005-05-09,68,2005-07-15,690.49
2005-05-10,63,2005-07-11,694.83
2005-05-11,62,2005-07-11,694.83
2005-05-12,65,2005-07-15,690.49
2005-05-13,60,2005-07-11,694.83
2005-05-16,57,2005-07-11,694.83
2005-05-17,53,2005-07-08,706.74
2005-05-18,52,2005-07-08,706.74
2005-05-19,51,2005-07-08,706.74
2005-05-20,50,2005-07-08,706.74
2005-05-23,18,2005-06-09,836.83
2005-05-24,49,2005-07-11,694.83
2005-05-25,48,2005-07-11,694.83
2005-05-26,47,2005-07-11,694.83
2005-05-27,50,2005-07-15,690.49
2005-05-30,43,2005-07-11,694.83
2005-05-31,42,2005-07-11,694.83
2005-06-01,9,2005-06-09,836.83
2005-06-02,8,2005-06-09,836.83
2005-06-03,7,2005-06-09,836.83
2005-06-06,43,2005-07-18,669.03
2005-06-07,39,2005-07-15,690.49
2005-06-08,24,2005-07-01,743.12
2005-06-09,23,2005-07-01,743.12
2005-06-10,25,2005-07-04,734.95
2005-06-13,19,2005-07-01,743.12
2005-06-14,25,2005-07-08,706.74
2005-06-15,24,2005-07-08,706.74
2005-06-16,23,2005-07-08,706.74
2005-06-17,22,2005-07-08,706.74
2005-06-20,16,2005-07-05,729.36
2005-06-21,18,2005-07-08,706.74
2005-06-22,15,2005-07-06,727.06
2005-06-23,16,2005-07-08,706.74
2005-06-24,15,2005-07-08,706.74
2005-06-27,8,2005-07-04,734.95
2005-06-28,11,2005-07-08,706.74
2005-06-29,10,2005-07-08,706.74
2005-06-30,12,2005-07-11,694.83
2005-07-01,42,2005-08-11,817.62
2005-07-04,38,2005-08-10,809.46
2005-07-05,37,2005-08-10,809.46
2005-07-06,36,2005-08-10,809.46
2005-07-07,35,2005-08-10,809.46
2005-07-08,32,2005-08-08,783.73
2005-07-11,26,2005-08-05,772.15
2005-07-12,29,2005-08-09,799.41
2005-07-13,27,2005-08-08,783.73
2005-07-14,26,2005-08-08,783.73
2005-07-15,22,2005-08-05,772.15
2005-07-18,16,2005-08-02,744.01
2005-07-19,16,2005-08-03,751.89
2005-07-20,15,2005-08-03,751.89
2005-07-21,14,2005-08-03,751.89
2005-07-22,15,2005-08-05,772.15
2005-07-25,12,2005-08-05,772.15
2005-07-26,14,2005-08-08,783.73
2005-07-27,14,2005-08-09,799.41
2005-07-28,13,2005-08-09,799.41
2005-07-29,12,2005-08-09,799.41
2005-08-01,10,2005-08-10,809.46
2005-08-02,14,2005-08-15,830.34
2005-08-03,13,2005-08-15,830.34
2005-08-04,12,2005-08-15,830.34
2005-08-05,13,2005-08-17,857.66
2005-08-08,25,2005-09-01,870.71
2005-08-09,25,2005-09-02,880.86
2005-08-10,27,2005-09-05,891.16
2005-08-11,34,2005-09-13,915.50
2005-08-12,25,2005-09-05,891.16
2005-08-15,30,2005-09-13,915.50
2005-08-16,30,2005-09-14,927.82
2005-08-17,34,2005-09-19,947.90
2005-08-18,27,2005-09-13,915.50
2005-08-19,26,2005-09-13,915.50
2005-08-22,24,2005-09-14,927.82
2005-08-23,22,2005-09-13,915.50
2005-08-24,21,2005-09-13,915.50
2005-08-25,22,2005-09-15,929.95
2005-08-26,25,2005-09-19,947.90
2005-08-29,17,2005-09-14,927.82
2005-08-30,16,2005-09-14,927.82
2005-08-31,20,2005-09-19,947.90
2005-09-01,219,2006-04-07,961.44
2005-09-02,221,2006-04-10,980.27
2005-09-05,92,2005-12-05,794.32
2005-09-06,212,2006-04-05,955.00
2005-09-07,90,2005-12-05,794.32
2005-09-08,51,2005-10-28,806.56
2005-09-09,88,2005-12-05,794.32
2005-09-12,51,2005-11-01,804.35
2005-09-13,46,2005-10-28,806.56
2005-09-14,45,2005-10-28,806.56
2005-09-15,44,2005-10-28,806.56
2005-09-16,42,2005-10-27,837.34
2005-09-19,39,2005-10-27,837.34
2005-09-20,38,2005-10-27,837.34
2005-09-21,37,2005-10-27,837.34
2005-09-22,75,2005-12-05,794.32
2005-09-23,200,2006-04-10,980.27
2005-09-26,71,2005-12-05,794.32
2005-09-27,190,2006-04-04,947.25
2005-09-28,189,2006-04-04,947.25
2005-09-29,194,2006-04-10,980.27
2005-09-30,190,2006-04-07,961.44
2005-10-10,177,2006-04-04,947.25
2005-10-11,182,2006-04-10,980.27
2005-10-12,55,2005-12-05,794.32
2005-10-13,54,2005-12-05,794.32
2005-10-14,179,2006-04-10,980.27
2005-10-17,176,2006-04-10,980.27
2005-10-18,11,2005-10-28,806.56
2005-10-19,48,2005-12-05,794.32
2005-10-20,47,2005-12-05,794.32
2005-10-21,8,2005-10-28,806.56
2005-10-24,5,2005-10-28,806.56
2005-10-25,168,2006-04-10,980.27
2005-10-26,161,2006-04-04,947.25
2005-10-27,105,2006-02-08,924.71
2005-10-28,75,2006-01-10,889.15
2005-10-31,74,2006-01-12,899.81
2005-11-01,70,2006-01-09,886.66
2005-11-02,79,2006-01-19,914.31
2005-11-03,72,2006-01-13,904.61
2005-11-04,77,2006-01-19,914.31
2005-11-07,94,2006-02-08,924.71
2005-11-08,99,2006-02-14,934.09
2005-11-09,98,2006-02-14,934.09
2005-11-10,64,2006-01-12,899.81
2005-11-11,69,2006-01-18,908.86
2005-11-14,67,2006-01-19,914.31
2005-11-15,60,2006-01-13,904.61
2005-11-16,65,2006-01-19,914.31
2005-11-17,64,2006-01-19,914.31
2005-11-18,89,2006-02-14,934.09
2005-11-21,135,2006-04-04,947.25
2005-11-22,79,2006-02-08,924.71
2005-11-23,83,2006-02-13,926.47
2005-11-24,83,2006-02-14,934.09
2005-11-25,82,2006-02-14,934.09
2005-11-28,79,2006-02-14,934.09
2005-11-29,72,2006-02-08,924.71
2005-11-30,71,2006-02-08,924.71
2005-12-01,70,2006-02-08,924.71
2005-12-02,43,2006-01-13,904.61
2005-12-05,36,2006-01-09,886.66
2005-12-06,35,2006-01-09,886.66
2005-12-07,34,2006-01-09,886.66
2005-12-08,33,2006-01-09,886.66
2005-12-09,35,2006-01-12,899.81
2005-12-12,38,2006-01-18,908.86
2005-12-13,37,2006-01-18,908.86
2005-12-14,56,2006-02-07,915.25
2005-12-15,35,2006-01-18,908.86
2005-12-16,54,2006-02-07,915.25
2005-12-19,52,2006-02-08,924.71
2005-12-20,51,2006-02-08,924.71
2005-12-21,29,2006-01-18,908.86
2005-12-22,29,2006-01-19,914.31
2005-12-23,48,2006-02-08,924.71
2005-12-26,50,2006-02-13,926.47
2005-12-27,49,2006-02-13,926.47
2005-12-28,49,2006-02-14,934.09
2005-12-29,97,2006-04-04,947.25
2005-12-30,47,2006-02-14,934.09
2006-01-04,91,2006-04-04,947.25
2006-01-05,91,2006-04-05,955.00
2006-01-06,92,2006-04-07,961.44
2006-01-09,92,2006-04-10,980.27
2006-01-10,91,2006-04-10,980.27
2006-01-11,90,2006-04-10,980.27
2006-01-12,117,2006-05-08,993.20
2006-01-13,117,2006-05-09,1022.82
2006-01-16,86,2006-04-11,982.14
2006-01-17,85,2006-04-11,982.14
2006-01-18,112,2006-05-09,1022.82
2006-01-19,111,2006-05-09,1022.82
2006-01-20,110,2006-05-09,1022.82
2006-01-23,107,2006-05-09,1022.82
2006-01-24,106,2006-05-09,1022.82
2006-01-25,76,2006-04-10,980.27
2006-02-06,93,2006-05-09,1022.82
2006-02-07,92,2006-05-09,1022.82
2006-02-08,91,2006-05-09,1022.82
2006-02-09,90,2006-05-09,1022.82
2006-02-10,89,2006-05-09,1022.82
2006-02-13,86,2006-05-09,1022.82
2006-02-14,86,2006-05-10,1037.93
2006-02-15,85,2006-05-10,1037.93
2006-02-16,83,2006-05-09,1022.82
2006-02-17,82,2006-05-09,1022.82
2006-02-20,78,2006-05-08,993.20
2006-02-21,78,2006-05-09,1022.82
2006-02-22,77,2006-05-09,1022.82
2006-02-23,76,2006-05-09,1022.82
2006-02-24,75,2006-05-09,1022.82
2006-02-27,72,2006-05-09,1022.82
2006-02-28,71,2006-05-09,1022.82
2006-03-01,71,2006-05-10,1037.93
2006-03-02,69,2006-05-09,1022.82
2006-03-03,68,2006-05-09,1022.82
2006-03-06,65,2006-05-09,1022.82
2006-03-07,35,2006-04-10,980.27
2006-03-08,34,2006-04-10,980.27
2006-03-09,33,2006-04-10,980.27
2006-03-10,32,2006-04-10,980.27
2006-03-13,30,2006-04-11,982.14
2006-03-14,30,2006-04-12,986.35
2006-03-15,55,2006-05-08,993.20
2006-03-16,55,2006-05-09,1022.82
2006-03-17,53,2006-05-08,993.20
2006-03-20,51,2006-05-09,1022.82
2006-03-21,50,2006-05-09,1022.82
2006-03-22,49,2006-05-09,1022.82
2006-03-23,49,2006-05-10,1037.93
2006-03-24,47,2006-05-09,1022.82
2006-03-27,45,2006-05-10,1037.93
2006-03-28,44,2006-05-10,1037.93
2006-03-29,43,2006-05-10,1037.93
2006-03-30,41,2006-05-09,1022.82
2006-03-31,40,2006-05-09,1022.82
2006-04-03,38,2006-05-10,1037.93
2006-04-04,39,2006-05-12,1066.17
2006-04-05,38,2006-05-12,1066.17
2006-04-06,37,2006-05-12,1066.17
2006-04-07,36,2006-05-12,1066.17
2006-04-10,36,2006-05-15,1108.90
2006-04-11,35,2006-05-15,1108.90
2006-04-12,34,2006-05-15,1108.90
2006-04-13,30,2006-05-12,1066.17
2006-04-14,32,2006-05-15,1108.90
2006-04-17,29,2006-05-15,1108.90
2006-04-18,28,2006-05-15,1108.90
2006-04-19,27,2006-05-15,1108.90
2006-04-20,26,2006-05-15,1108.90
2006-04-21,25,2006-05-15,1108.90
2006-04-24,19,2006-05-12,1066.17
2006-04-25,18,2006-05-12,1066.17
2006-04-26,17,2006-05-12,1066.17
2006-04-27,16,2006-05-12,1066.17
2006-04-28,15,2006-05-12,1066.17
2006-05-08,8,2006-05-15,1108.90
2006-05-09,11,2006-05-19,1153.64
2006-05-10,10,2006-05-19,1153.64
2006-05-11,9,2006-05-19,1153.64
2006-05-12,11,2006-05-22,1183.70
2006-05-15,17,2006-05-31,1224.03
2006-05-16,14,2006-05-29,1198.81
2006-05-17,14,2006-05-30,1218.73
2006-05-18,15,2006-06-01,1278.24
2006-05-19,14,2006-06-01,1278.24
2006-05-22,15,2006-06-05,1323.45
2006-05-23,10,2006-06-01,1278.24
2006-05-24,9,2006-06-01,1278.24
2006-05-25,8,2006-06-01,1278.24
2006-05-26,8,2006-06-02,1287.82
2006-05-29,8,2006-06-05,1323.45
2006-05-30,31,2006-06-29,1349.11
2006-05-31,30,2006-06-29,1349.11
2006-06-01,41,2006-07-11,1417.30
2006-06-02,40,2006-07-11,1417.30
2006-06-05,64,2006-08-07,1185.39
2006-06-06,63,2006-08-07,1185.39
2006-06-07,30,2006-07-06,1382.23
2006-06-08,29,2006-07-06,1382.23
2006-06-09,21,2006-06-29,1349.11
2006-06-12,18,2006-06-29,1349.11
2006-06-13,17,2006-06-29,1349.11
2006-06-14,16,2006-06-29,1349.11
2006-06-15,19,2006-07-03,1356.29
2006-06-16,21,2006-07-06,1382.23
2006-06-19,22,2006-07-10,1405.09
2006-06-20,22,2006-07-11,1417.30
2006-06-21,21,2006-07-11,1417.30
2006-06-22,20,2006-07-11,1417.30
2006-06-23,109,2006-10-09,1433.79
2006-06-26,43,2006-08-07,1185.39
2006-06-27,42,2006-08-07,1185.39
2006-06-28,41,2006-08-07,1185.39
2006-06-29,40,2006-08-07,1185.39
2006-06-30,39,2006-08-07,1185.39
2006-07-03,36,2006-08-07,1185.39
2006-07-04,35,2006-08-07,1185.39
2006-07-05,34,2006-08-07,1185.39
2006-07-06,30,2006-08-04,1221.20
2006-07-07,29,2006-08-04,1221.20
2006-07-10,26,2006-08-04,1221.20
2006-07-11,23,2006-08-02,1273.41
2006-07-12,22,2006-08-02,1273.41
2006-07-13,91,2006-10-11,1446.87
2006-07-14,25,2006-08-07,1185.39
2006-07-17,22,2006-08-07,1185.39
2006-07-18,18,2006-08-04,1221.20
2006-07-19,20,2006-08-07,1185.39
2006-07-20,19,2006-08-07,1185.39
2006-07-21,18,2006-08-07,1185.39
2006-07-24,15,2006-08-07,1185.39
2006-07-25,11,2006-08-04,1221.20
2006-07-26,10,2006-08-04,1221.20
2006-07-27,9,2006-08-04,1221.20
2006-07-28,8,2006-08-04,1221.20
2006-07-31,73,2006-10-11,1446.87
2006-08-01,70,2006-10-09,1433.79
2006-08-02,59,2006-09-29,1411.51
2006-08-03,57,2006-09-28,1399.31
2006-08-04,33,2006-09-05,1344.89
2006-08-07,22,2006-08-28,1316.24
2006-08-08,30,2006-09-06,1355.48
2006-08-09,41,2006-09-18,1375.47
2006-08-10,42,2006-09-20,1385.26
2006-08-11,42,2006-09-21,1390.20
2006-08-14,22,2006-09-04,1343.19
2006-08-15,35,2006-09-18,1375.47
2006-08-16,37,2006-09-21,1390.20
2006-08-17,35,2006-09-20,1385.26
2006-08-18,32,2006-09-18,1375.47
2006-08-21,31,2006-09-20,1385.26
2006-08-22,38,2006-09-28,1399.31
2006-08-23,37,2006-09-28,1399.31
2006-08-24,47,2006-10-09,1433.79
2006-08-25,46,2006-10-09,1433.79
2006-08-28,52,2006-10-18,1453.10
2006-08-29,51,2006-10-18,1453.10
2006-08-30,111,2006-12-18,1481.21
2006-08-31,110,2006-12-18,1481.21
2006-09-01,41,2006-10-11,1446.87
2006-09-04,106,2006-12-18,1481.21
2006-09-05,105,2006-12-18,1481.21
2006-09-06,105,2006-12-19,1493.62
2006-09-07,103,2006-12-18,1481.21
2006-09-08,102,2006-12-18,1481.21
2006-09-11,100,2006-12-19,1493.62
2006-09-12,99,2006-12-19,1493.62
2006-09-13,97,2006-12-18,1481.21
2006-09-14,96,2006-12-18,1481.21
2006-09-15,96,2006-12-19,1493.62
2006-09-18,94,2006-12-20,1525.95
2006-09-19,93,2006-12-20,1525.95
2006-09-20,92,2006-12-20,1525.95
2006-09-21,110,2007-01-08,1571.82
2006-09-22,90,2006-12-20,1525.95
2006-09-25,87,2006-12-20,1525.95
2006-09-26,86,2006-12-20,1525.95
2006-09-27,104,2007-01-08,1571.82
2006-09-28,103,2007-01-08,1571.82
2006-09-29,102,2007-01-08,1571.82
2006-10-09,93,2007-01-09,1610.20
2006-10-10,92,2007-01-09,1610.20
2006-10-11,91,2007-01-09,1610.20
2006-10-12,90,2007-01-09,1610.20
2006-10-13,89,2007-01-09,1610.20
2006-10-16,86,2007-01-09,1610.20
2006-10-17,85,2007-01-09,1610.20
2006-10-18,27,2006-11-13,1306.78
2006-10-19,26,2006-11-13,1306.78
2006-10-20,82,2007-01-09,1610.20
2006-10-23,78,2007-01-08,1571.82
2006-10-24,78,2007-01-09,1610.20
2006-10-25,76,2007-01-08,1571.82
2006-10-26,75,2007-01-08,1571.82
2006-10-27,74,2007-01-08,1571.82
2006-10-30,52,2006-12-20,1525.95
2006-10-31,70,2007-01-08,1571.82
2006-11-01,69,2007-01-08,1571.82
2006-11-02,68,2007-01-08,1571.82
2006-11-03,67,2007-01-08,1571.82
2006-11-06,64,2007-01-08,1571.82
2006-11-07,44,2006-12-20,1525.95
2006-11-08,43,2006-12-20,1525.95
2006-11-09,61,2007-01-08,1571.82
2006-11-10,40,2006-12-19,1493.62
2006-11-13,22,2006-12-04,1450.57
2006-11-14,22,2006-12-05,1461.38
2006-11-15,34,2006-12-18,1481.21
2006-11-16,20,2006-12-05,1461.38
2006-11-17,32,2006-12-18,1481.21
2006-11-20,16,2006-12-05,1461.38
2006-11-21,28,2006-12-18,1481.21
2006-11-22,27,2006-12-18,1481.21
2006-11-23,27,2006-12-19,1493.62
2006-11-24,27,2006-12-20,1525.95
2006-11-27,24,2006-12-20,1525.95
2006-11-28,42,2007-01-08,1571.82
2006-11-29,41,2007-01-08,1571.82
2006-11-30,40,2007-01-08,1571.82
2006-12-01,40,2007-01-09,1610.20
2006-12-04,37,2007-01-09,1610.20
2006-12-05,36,2007-01-09,1610.20
2006-12-06,35,2007-01-09,1610.20
2006-12-07,34,2007-01-09,1610.20
2006-12-08,13,2006-12-20,1525.95
