trade_date,start_close,natural_days_to_5pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2005-01-04,989.98,28,2005-01-31,down,954.94,923.13,1039.48,940.48
2005-01-05,1013.58,24,2005-01-28,down,989.41,960.24,1064.26,962.90
2005-01-06,1005.47,26,2005-01-31,down,954.94,923.13,1055.74,955.20
2005-01-07,1011.74,22,2005-01-28,down,989.41,960.24,1062.33,961.15
2005-01-10,1023.64,12,2005-01-21,down,1007.92,966.08,1074.82,972.46
2005-01-11,1027.16,11,2005-01-21,down,1007.92,966.08,1078.52,975.80
2005-01-12,1024.92,10,2005-01-21,down,1007.92,966.08,1076.17,973.67
2005-01-13,1029.30,9,2005-01-21,down,1007.92,966.08,1080.77,977.83
2005-01-14,1011.88,15,2005-01-28,down,989.41,960.24,1062.47,961.29
2005-01-17,986.66,15,2005-01-31,down,954.94,923.13,1035.99,937.33
2005-01-18,1008.11,14,2005-01-31,down,954.94,923.13,1058.52,957.70
2005-01-19,1002.46,13,2005-01-31,down,954.94,923.13,1052.58,952.34
2005-01-20,989.44,12,2005-01-31,down,954.94,923.13,1038.91,939.97
2005-01-21,1006.25,11,2005-01-31,down,954.94,923.13,1056.56,955.94
2005-01-24,1028.01,5,2005-01-28,down,989.41,960.24,1079.41,976.61
2005-01-25,1015.10,4,2005-01-28,down,989.41,960.24,1065.86,964.35
2005-01-26,1006.84,6,2005-01-31,down,954.94,923.13,1057.18,956.50
2005-01-27,989.41,5,2005-01-31,down,954.94,923.13,1038.88,939.94
2005-01-28,963.01,5,2005-02-01,down,929.22,905.21,1011.16,914.86
2005-01-31,924.17,17,2005-02-16,up,975.50,958.48,970.38,877.96
2005-02-01,905.80,2,2005-02-02,up,959.99,904.13,951.09,860.51
2005-02-02,958.39,21,2005-02-22,up,1016.38,982.76,1006.31,910.47
2005-02-03,936.86,20,2005-02-22,up,1016.38,982.76,983.70,890.02
2005-02-04,952.39,19,2005-02-22,up,1016.38,982.76,1000.01,904.77
2005-02-16,966.39,7,2005-02-22,up,1016.38,982.76,1014.71,918.07
2005-02-17,973.81,7,2005-02-23,up,1038.91,1010.43,1022.50,925.12
2005-02-18,964.01,5,2005-02-22,up,1016.38,982.76,1012.21,915.81
2005-02-21,983.61,3,2005-02-23,up,1038.91,1010.43,1032.79,934.43
2005-02-22,1015.66,25,2005-03-18,down,969.39,943.69,1066.44,964.88
2005-02-23,1032.90,22,2005-03-16,down,991.77,977.60,1084.55,981.25
2005-02-24,1035.35,21,2005-03-16,down,991.77,977.60,1087.12,983.58
2005-02-25,1032.41,20,2005-03-16,down,991.77,977.60,1084.03,980.79
2005-02-28,1029.38,17,2005-03-16,down,991.77,977.60,1080.85,977.91
2005-03-01,1030.82,16,2005-03-16,down,991.77,977.60,1082.36,979.28
2005-03-02,1014.53,17,2005-03-18,down,969.39,943.69,1065.26,963.80
2005-03-03,1020.25,15,2005-03-17,down,984.38,967.48,1071.26,969.24
2005-03-04,1011.36,15,2005-03-18,down,969.39,943.69,1061.93,960.79
2005-03-07,1013.59,12,2005-03-18,down,969.39,943.69,1064.27,962.91
2005-03-08,1037.03,9,2005-03-16,down,991.77,977.60,1088.88,985.18
2005-03-09,1042.18,8,2005-03-16,down,991.77,977.60,1094.29,990.07
2005-03-10,1011.79,9,2005-03-18,down,969.39,943.69,1062.38,961.20
2005-03-11,1017.45,8,2005-03-18,down,969.39,943.69,1068.32,966.58
2005-03-14,1005.99,5,2005-03-18,down,969.39,943.69,1056.29,955.69
2005-03-15,993.48,4,2005-03-18,down,969.39,943.69,1043.15,943.81
2005-03-16,982.84,7,2005-03-22,down,951.15,915.73,1031.98,933.70
2005-03-17,967.59,6,2005-03-22,down,951.15,915.73,1015.97,919.21
2005-03-18,946.71,11,2005-03-28,down,921.89,896.95,994.05,899.37
2005-03-21,950.79,8,2005-03-28,down,921.89,896.95,998.33,903.25
2005-03-22,915.94,9,2005-03-30,down,902.01,868.89,961.74,870.14
2005-03-23,915.97,8,2005-03-30,down,902.01,868.89,961.77,870.17
2005-03-24,928.54,7,2005-03-30,down,902.01,868.89,974.97,882.11
2005-03-25,923.20,6,2005-03-30,down,902.01,868.89,969.36,877.04
2005-03-28,911.35,4,2005-03-31,down,880.91,860.42,956.92,865.78
2005-03-29,904.82,22,2005-04-19,down,871.67,856.70,950.06,859.58
2005-03-30,869.58,3,2005-04-01,up,921.49,870.60,913.06,826.10
2005-03-31,880.90,8,2005-04-07,up,925.78,897.65,924.95,836.85
2005-04-01,913.85,18,2005-04-18,down,882.41,862.17,959.54,868.16
2005-04-04,896.29,17,2005-04-20,down,866.65,843.77,941.10,851.48
2005-04-05,886.20,4,2005-04-08,up,931.88,909.87,930.51,841.89
2005-04-06,898.88,15,2005-04-20,down,866.65,843.77,943.82,853.94
2005-04-07,913.66,12,2005-04-18,down,882.41,862.17,959.34,867.98
2005-04-08,931.38,11,2005-04-18,down,882.41,862.17,977.95,884.81
2005-04-11,931.97,8,2005-04-18,down,882.41,862.17,978.57,885.37
2005-04-12,905.87,8,2005-04-19,down,871.67,856.70,951.16,860.58
2005-04-13,929.11,6,2005-04-18,down,882.41,862.17,975.57,882.65
2005-04-14,916.35,5,2005-04-18,down,882.41,862.17,962.17,870.53
2005-04-15,887.93,7,2005-04-21,down,846.79,820.48,932.33,843.53
2005-04-18,868.33,4,2005-04-21,down,846.79,820.48,911.75,824.91
2005-04-19,867.23,3,2005-04-21,down,846.79,820.48,910.59,823.87
2005-04-20,844.93,3,2005-04-22,down,826.77,800.95,887.18,802.68
2005-04-21,826.05,5,2005-04-25,down,794.46,778.24,867.35,784.75
2005-04-22,806.65,19,2005-05-10,down,773.20,746.65,846.98,766.32
2005-04-25,789.54,16,2005-05-10,down,773.20,746.65,829.02,750.06
2005-04-26,806.94,15,2005-05-10,down,773.20,746.65,847.29,766.59
2005-04-27,790.24,14,2005-05-10,down,773.20,746.65,829.75,750.73
2005-04-28,813.63,12,2005-05-09,down,806.51,770.86,854.31,772.95
2005-04-29,802.28,12,2005-05-10,down,773.20,746.65,842.39,762.17
2005-05-09,771.08,31,2005-06-08,up,830.13,770.08,809.63,732.53
