"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年6月28日","3,412.86","3,356.22","3,422.73","3,345.21","1.64B","1.95%"
"2021年6月25日","3,347.70","3,288.27","3,355.88","3,286.27","1.76B","2.09%"
"2021年6月24日","3,279.16","3,326.33","3,328.56","3,260.03","1.60B","-1.20%"
"2021年6月23日","3,318.95","3,288.76","3,341.96","3,266.90","1.84B","1.13%"
"2021年6月22日","3,281.99","3,273.63","3,291.18","3,220.42","1.59B","0.35%"
"2021年6月21日","3,270.58","3,235.69","3,288.74","3,205.36","1.69B","0.97%"
"2021年6月18日","3,239.23","3,210.14","3,260.73","3,198.29","1.55B","1.59%"
"2021年6月17日","3,188.59","3,133.91","3,197.54","3,133.91","1.49B","2.01%"
"2021年6月16日","3,125.70","3,258.60","3,258.69","3,122.81","1.81B","-4.18%"
"2021年6月15日","3,262.19","3,298.21","3,306.44","3,240.52","1.64B","-1.10%"
"2021年6月11日","3,298.50","3,305.53","3,320.26","3,266.36","2.35B","0.40%"
"2021年6月10日","3,285.51","3,213.44","3,301.16","3,213.44","2.19B","2.43%"
"2021年6月9日","3,207.63","3,203.15","3,222.18","3,183.06","1.54B","-0.03%"
"2021年6月8日","3,208.57","3,227.27","3,275.78","3,185.22","1.82B","-0.61%"
"2021年6月7日","3,228.24","3,240.95","3,241.77","3,197.91","1.64B","-0.44%"
"2021年6月4日","3,242.61","3,194.39","3,281.26","3,183.67","1.74B","1.28%"
"2021年6月3日","3,201.78","3,241.16","3,255.16","3,201.23","1.73B","-1.27%"
"2021年6月2日","3,243.02","3,309.18","3,310.49","3,228.85","1.69B","-1.73%"
"2021年6月1日","3,300.16","3,290.53","3,307.22","3,242.90","17.60K","-0.27%"
"2021年5月31日","3,309.07","3,246.15","3,309.75","3,246.15","1.90B","2.38%"
"2021年5月28日","3,232.29","3,226.08","3,285.28","3,215.03","1.88B","0.19%"
"2021年5月27日","3,226.11","3,192.04","3,238.45","3,169.03","1.81B","0.92%"
"2021年5月26日","3,196.85","3,226.70","3,228.65","3,185.77","18.38K","-0.95%"
"2021年5月25日","3,227.36","3,155.27","3,232.70","3,151.90","18.92K","2.79%"
"2021年5月24日","3,139.69","3,128.78","3,140.83","3,075.45","16.83K","0.85%"
"2021年5月21日","3,113.26","3,162.79","3,171.90","3,098.24","1.63B","-0.97%"
"2021年5月20日","3,143.62","3,113.55","3,158.45","3,112.56","1.57B","0.93%"
"2021年5月19日","3,114.72","3,081.22","3,128.60","3,075.80","1.42B","0.80%"
"2021年5月18日","3,090.12","3,108.63","3,128.94","3,068.76","1.41B","-0.73%"
"2021年5月17日","3,112.74","3,049.02","3,130.20","3,049.02","1.93B","2.60%"
"2021年5月14日","3,033.81","2,954.17","3,039.73","2,942.98","1.87B","3.06%"
"2021年5月13日","2,943.62","2,922.73","2,967.62","2,912.52","1.41B","-0.57%"
"2021年5月12日","2,960.35","2,913.06","2,965.21","2,887.21","1.25B","1.34%"
"2021年5月11日","2,921.34","2,898.80","2,932.48","2,864.05","1.30B","-0.01%"
"2021年5月10日","2,921.72","2,920.42","2,960.33","2,901.08","1.44B","0.39%"
"2021年5月7日","2,910.41","3,021.87","3,026.85","2,910.41","1.45B","-3.46%"
"2021年5月6日","3,014.81","3,059.58","3,059.58","2,961.99","1.66B","-2.48%"
"2021年4月30日","3,091.40","3,040.65","3,110.16","3,037.31","1.66B","1.31%"
"2021年4月29日","3,051.42","3,053.74","3,068.60","3,014.55","1.66B","0.03%"
"2021年4月28日","3,050.58","2,990.70","3,052.04","2,980.65","1.79B","2.16%"
"2021年4月27日","2,986.03","2,964.03","2,986.03","2,946.80","1.71B","0.56%"
"2021年4月26日","2,969.40","3,019.30","3,057.12","2,965.01","2.04B","-0.84%"
"2021年4月23日","2,994.49","2,938.93","3,009.27","2,937.94","1.70B","1.87%"
"2021年4月22日","2,939.40","2,941.30","2,950.23","2,901.92","1.57B","0.77%"
"2021年4月21日","2,916.97","2,873.36","2,920.72","2,867.21","1.40B","0.72%"
"2021年4月20日","2,896.11","2,880.06","2,922.03","2,870.29","1.63B","-0.09%"
"2021年4月19日","2,898.73","2,777.02","2,899.73","2,769.65","1.88B","4.14%"
"2021年4月16日","2,783.37","2,801.74","2,802.62","2,744.68","1.33B","-0.26%"
"2021年4月15日","2,790.64","2,787.25","2,793.67","2,761.29","1.13B","-0.49%"
"2021年4月14日","2,804.41","2,753.67","2,809.16","2,753.67","1.31B","2.24%"
"2021年4月13日","2,742.85","2,719.56","2,785.14","2,719.56","1.44B","0.84%"
"2021年4月12日","2,719.95","2,789.78","2,813.49","2,711.84","1.53B","-2.28%"
"2021年4月9日","2,783.33","2,823.78","2,829.96","2,772.31","1.23B","-1.54%"
"2021年4月8日","2,826.99","2,793.17","2,838.94","2,778.87","13.39K","0.70%"
"2021年4月7日","2,807.20","2,843.57","2,843.57","2,773.67","1.39B","-0.86%"
"2021年4月6日","2,831.60","2,865.44","2,871.87","2,814.49","1.29B","-0.72%"
"2021年4月2日","2,852.23","2,828.35","2,871.11","2,820.01","1.52B","1.31%"
"2021年4月1日","2,815.41","2,766.42","2,819.41","2,766.42","1.31B","2.06%"
"2021年3月31日","2,758.50","2,770.33","2,777.08","2,731.22","1.26B","-0.46%"
"2021年3月30日","2,771.32","2,728.49","2,779.87","2,722.23","1.40B","1.37%"
"2021年3月29日","2,733.96","2,747.86","2,768.14","2,716.95","1.50B","-0.42%"
"2021年3月26日","2,745.40","2,672.91","2,754.30","2,672.91","1.65B","3.37%"
"2021年3月25日","2,656.00","2,609.38","2,670.90","2,603.94","1.48B","0.81%"
"2021年3月24日","2,634.61","2,650.37","2,678.40","2,623.29","1.61B","-1.25%"
"2021年3月23日","2,668.08","2,684.64","2,708.96","2,641.37","1.62B","-1.12%"
"2021年3月22日","2,698.26","2,683.64","2,729.10","2,665.62","1.37B","1.00%"
"2021年3月19日","2,671.52","2,697.83","2,726.87","2,654.00","1.47B","-2.81%"
"2021年3月18日","2,748.73","2,717.27","2,760.79","2,713.85","1.58B","1.65%"
"2021年3月17日","2,704.14","2,662.93","2,717.67","2,631.73","1.42B","1.20%"
"2021年3月16日","2,672.12","2,664.69","2,678.92","2,629.36","1.48B","1.06%"
"2021年3月15日","2,644.01","2,737.45","2,737.45","2,612.45","1.71B","-4.09%"
"2021年3月12日","2,756.81","2,768.58","2,771.87","2,711.33","1.69B","0.37%"
"2021年3月11日","2,746.58","2,682.95","2,768.95","2,677.57","1.82B","2.61%"
"2021年3月10日","2,676.70","2,708.23","2,720.25","2,665.70","1.86B","1.64%"
"2021年3月9日","2,633.45","2,717.17","2,733.98","2,608.24","2.28B","-3.50%"
"2021年3月8日","2,728.84","2,889.08","2,905.47","2,726.34","2.28B","-4.98%"
"2021年3月5日","2,871.97","2,800.25","2,897.17","2,800.25","1.99B","0.70%"
"2021年3月4日","2,851.87","2,962.52","2,962.52","2,841.15","2.12B","-4.87%"
"2021年3月3日","2,997.75","2,951.29","2,997.99","2,933.83","1.67B","1.04%"
"2021年3月2日","2,966.89","3,019.10","3,023.21","2,937.89","1.98B","-0.93%"
"2021年3月1日","2,994.75","2,958.53","2,998.03","2,935.08","2.09B","2.77%"
"2021年2月26日","2,914.11","2,907.48","2,961.03","2,887.81","2.12B","-2.12%"
"2021年2月25日","2,977.18","3,040.90","3,045.00","2,969.03","1.93B","-1.01%"
"2021年2月24日","3,007.46","3,112.72","3,125.24","2,973.88","2.26B","-3.37%"
"2021年2月23日","3,112.36","3,099.19","3,156.37","3,090.32","2.02B","-0.84%"
"2021年2月22日","3,138.67","3,278.59","3,278.59","3,138.65","2.94B","-4.47%"
"2021年2月19日","3,285.53","3,289.01","3,308.75","3,195.95","2.44B","-1.04%"
"2021年2月18日","3,320.14","3,475.89","3,476.00","3,300.18","2.65B","-2.74%"
"2021年2月10日","3,413.81","3,350.32","3,427.82","3,314.67","1.92B","2.39%"
"2021年2月9日","3,334.24","3,291.50","3,339.97","3,273.10","19.71K","1.71%"
"2021年2月8日","3,278.06","3,202.48","3,278.06","3,162.59","1.93B","2.64%"
"2021年2月5日","3,193.71","3,224.85","3,256.72","3,191.46","2.01B","-0.21%"
"2021年2月4日","3,200.55","3,208.65","3,248.28","3,155.79","2.08B","-0.72%"
"2021年2月3日","3,223.77","3,245.26","3,276.23","3,218.87","2.23B","-0.15%"
"2021年2月2日","3,228.70","3,176.25","3,232.43","3,130.76","2.07B","2.17%"
"2021年2月1日","3,159.99","3,134.79","3,189.85","3,123.44","2.14B","0.99%"
"2021年1月29日","3,128.86","3,201.67","3,221.11","3,070.04","2.52B","-1.04%"
"2021年1月28日","3,161.86","3,219.93","3,248.02","3,160.53","2.48B","-3.63%"
"2021年1月27日","3,281.03","3,269.77","3,296.16","3,196.09","2.32B","0.70%"
"2021年1月26日","3,258.36","3,335.44","3,335.44","3,253.27","2.32B","-2.89%"
"2021年1月25日","3,355.24","3,363.60","3,427.44","3,333.74","2.62B","-0.09%"
"2021年1月22日","3,358.24","3,282.04","3,366.69","3,281.40","2.59B","2.27%"
"2021年1月21日","3,283.72","3,217.83","3,303.32","3,217.83","2.47B","2.46%"
"2021年1月20日","3,204.93","3,106.35","3,204.93","3,098.43","1.94B","3.90%"
"2021年1月19日","3,084.49","3,146.27","3,157.46","3,074.19","2.07B","-2.05%"
"2021年1月18日","3,149.20","3,078.03","3,164.58","3,056.81","2.04B","1.92%"
"2021年1月15日","3,089.94","3,074.00","3,109.87","3,020.78","2.12B","0.02%"
"2021年1月14日","3,089.18","3,101.96","3,142.85","3,061.02","2.31B","-1.31%"
"2021年1月13日","3,130.30","3,180.75","3,207.07","3,100.07","2.75B","-1.57%"
"2021年1月12日","3,180.35","3,079.84","3,180.35","3,057.74","2.51B","2.83%"
"2021年1月11日","3,092.86","3,159.59","3,159.59","3,066.74","2.57B","-1.84%"
"2021年1月8日","3,150.78","3,179.36","3,194.37","3,115.99","2.65B","-0.37%"
"2021年1月7日","3,162.40","3,106.34","3,162.40","3,086.06","2.58B","1.52%"
"2021年1月6日","3,115.09","3,113.85","3,134.76","3,057.56","23.04K","0.55%"
"2021年1月5日","3,097.98","3,050.18","3,100.00","3,027.76","2.55B","0.65%"
"2021年1月4日","3,078.11","2,977.32","3,094.53","2,963.41","2.54B","3.77%"
"2020年12月31日","2,966.26","2,911.39","2,969.75","2,909.67","2.03B","2.27%"
"2020年12月30日","2,900.54","2,828.01","2,909.19","2,827.07","1.78B","3.11%"
"2020年12月29日","2,813.00","2,838.71","2,843.68","2,795.74","19.91K","-1.05%"
"2020年12月28日","2,842.81","2,847.12","2,861.00","2,823.00","1.95B","0.07%"
"2020年12月25日","2,840.80","2,811.55","2,841.57","2,793.78","1.59B","0.71%"
"2020年12月24日","2,820.75","2,838.94","2,848.34","2,811.93","1.60B","-0.78%"
"2020年12月23日","2,842.97","2,822.26","2,865.26","2,809.92","17.54K","1.11%"
"2020年12月22日","2,811.75","2,867.21","2,888.35","2,809.92","1.92B","-2.45%"
"2020年12月21日","2,882.44","2,789.64","2,882.44","2,783.39","1.74B","3.66%"
"2020年12月18日","2,780.73","2,787.78","2,803.11","2,768.47","1.40B","-0.18%"
"2020年12月17日","2,785.62","2,758.44","2,789.25","2,739.31","16.33K","0.90%"
"2020年12月16日","2,760.64","2,764.34","2,771.59","2,732.58","14.63K","0.06%"
"2020年12月15日","2,758.85","2,727.95","2,761.32","2,720.14","14.38K","1.18%"
"2020年12月14日","2,726.60","2,695.19","2,729.07","2,674.51","1.58B","1.44%"
"2020年12月11日","2,687.78","2,727.97","2,733.94","2,665.10","2.23B","-1.13%"
"2020年12月10日","2,718.55","2,689.21","2,734.64","2,675.46","1.64B","0.77%"
"2020年12月9日","2,697.83","2,752.35","2,763.41","2,693.19","1.97B","-1.76%"
