日期,收盘,开盘,高,低,交易量,涨跌幅
2021年7月12日,"3,378.13","3,385.12","3,385.68","3,357.13",10.47K,0.49%
2021年7月9日,"3,361.59","3,359.20","3,373.14","3,329.74",3.16B,-0.35%
2021年7月8日,"3,373.26","3,432.89","3,434.15","3,365.53",3.39B,-1.49%
2021年7月7日,"3,424.39","3,384.57","3,433.73","3,382.24",2.69B,0.56%
2021年7月6日,"3,405.28","3,405.47","3,406.76","3,368.14",2.92B,0.01%
2021年7月5日,"3,404.79","3,402.11","3,415.56","3,376.84",3.09B,-0.10%
2021年7月2日,"3,408.24","3,495.60","3,495.60","3,403.80",3.47B,-3.59%
2021年7月1日,"3,535.25","3,510.56","3,535.33","3,479.52",2.96B,1.05%
2021年6月30日,"3,498.65","3,477.38","3,504.96","3,477.38",2.49B,0.46%
2021年6月29日,"3,482.73","3,514.32","3,517.36","3,475.44",2.88B,-1.08%
2021年6月28日,"3,520.74","3,541.10","3,543.70","3,502.78",2.97B,-0.40%
2021年6月25日,"3,535.02","3,483.16","3,545.43","3,479.74",3.60B,1.47%
2021年6月24日,"3,483.91","3,476.68","3,487.27","3,452.61",2.88B,0.36%
2021年6月23日,"3,471.34","3,469.28","3,496.44","3,460.69",2.96B,0.19%
2021年6月22日,"3,464.71","3,444.75","3,469.81","3,437.95",3.26B,0.97%
2021年6月21日,"3,431.25","3,440.74","3,455.56","3,410.40",3.05B,-0.68%
2021年6月18日,"3,454.59","3,475.55","3,488.26","3,426.03",3.61B,-0.78%
2021年6月17日,"3,481.60","3,477.47","3,503.55","3,467.58",2.94B,-0.13%
2021年6月16日,"3,486.29","3,525.75","3,532.85","3,480.41",3.16B,-1.20%
2021年6月15日,"3,528.67","3,570.40","3,579.09","3,513.13",3.75B,-1.35%
2021年6月11日,"3,576.78","3,610.14","3,611.25","3,564.65",4.07B,-0.86%
2021年6月10日,"3,607.68","3,588.14","3,634.92","3,582.16",2.87B,0.56%
2021年6月9日,"3,587.53","3,575.49","3,599.62","3,572.36",2.73B,0.20%
2021年6月8日,"3,580.28","3,597.94","3,634.82","3,558.46",2.61B,-0.58%
2021年6月7日,"3,601.11","3,610.89","3,613.28","3,579.01",2.57B,-0.32%
2021年6月4日,"3,612.70","3,574.30","3,655.92","3,573.70",2.89B,0.60%
2021年6月3日,"3,591.16","3,620.79","3,637.00","3,589.23",2.60B,-0.86%
2021年6月2日,"3,622.40","3,661.94","3,665.92","3,604.78",2.80B,-0.78%
2021年6月1日,"3,650.90","3,641.97","3,652.95","3,608.20",2.82B,0.02%
2021年5月31日,"3,650.22","3,652.89","3,652.89","3,615.42",2.63B,-0.25%
2021年5月28日,"3,659.30","3,663.88","3,689.25","3,630.57",2.87B,-0.15%
2021年5月27日,"3,664.94","3,645.48","3,709.00","3,628.96",2.99B,0.21%
2021年5月26日,"3,657.19","3,656.34","3,678.07","3,643.98",3.46B,0.44%
2021年5月25日,"3,641.29","3,505.81","3,645.07","3,505.63",4.42B,4.10%
2021年5月24日,"3,497.75","3,482.99","3,499.45","3,457.29",2.30B,0.46%
2021年5月21日,"3,481.86","3,532.87","3,544.27","3,475.26",2.06B,-1.15%
