"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年7月2日","6,658.04","6,716.42","6,718.45","6,651.48","136.47K","-0.87%"
"2021年7月1日","6,716.67","6,827.70","6,827.70","6,716.67","138.35K","-1.34%"
"2021年6月30日","6,808.18","6,767.74","6,812.38","6,757.34","125.41K","0.63%"
"2021年6月29日","6,765.42","6,833.06","6,835.05","6,756.92","136.63K","-0.92%"
"2021年6月28日","6,828.52","6,814.32","6,843.52","6,802.86","145.50K","0.22%"
"2021年6月25日","6,813.41","6,748.87","6,824.86","6,739.02","151.49K","0.87%"
"2021年6月24日","6,754.87","6,791.86","6,791.86","6,743.33","145.05K","-0.52%"
"2021年6月23日","6,789.95","6,741.58","6,803.97","6,720.58","155.31K","0.74%"
"2021年6月22日","6,739.79","6,723.30","6,748.97","6,691.82","146.54K","0.49%"
"2021年6月21日","6,707.18","6,652.65","6,722.98","6,638.52","143.03K","0.74%"
"2021年6月18日","6,657.76","6,610.27","6,671.88","6,587.03","138.02K","0.63%"
"2021年6月17日","6,616.17","6,554.30","6,618.50","6,554.30","124.49K","0.76%"
"2021年6月16日","6,566.29","6,659.49","6,662.78","6,554.89","136.81K","-1.46%"
"2021年6月15日","6,663.66","6,734.10","6,736.54","6,649.20","152.21K","-0.93%"
"2021年6月11日","6,725.92","6,773.64","6,775.86","6,717.27","169.57K","-0.59%"
"2021年6月10日","6,765.64","6,688.82","6,773.46","6,683.49","154.28K","1.09%"
"2021年6月9日","6,692.90","6,677.14","6,712.25","6,656.05","136.51K","0.12%"
"2021年6月8日","6,684.56","6,726.09","6,752.63","6,652.39","138.69K","-0.55%"
"2021年6月7日","6,721.50","6,705.74","6,729.85","6,689.70","140.56K","0.42%"
"2021年6月4日","6,693.06","6,642.06","6,725.69","6,628.01","137.87K","0.38%"
"2021年6月3日","6,667.73","6,680.10","6,744.52","6,654.46","154.89K","-0.21%"
"2021年6月2日","6,681.43","6,740.50","6,748.15","6,662.75","157.37K","-0.87%"
"2021年6月1日","6,739.76","6,718.64","6,742.98","6,656.66","161.09K","0.16%"
"2021年5月31日","6,728.99","6,681.55","6,729.07","6,667.26","146.93K","0.91%"
"2021年5月28日","6,668.17","6,699.28","6,718.09","6,643.64","157.32K","-0.26%"
"2021年5月27日","6,685.41","6,629.24","6,685.48","6,620.72","145.17K","0.86%"
"2021年5月26日","6,628.21","6,631.37","6,642.38","6,612.42","156.24K","0.13%"
"2021年5月25日","6,619.67","6,549.34","6,628.69","6,524.30","144.69K","1.15%"
"2021年5月24日","6,544.12","6,515.83","6,564.07","6,494.62","137.23K","0.25%"
"2021年5月21日","6,527.86","6,557.49","6,570.46","6,512.81","134.35K","-0.32%"
"2021年5月20日","6,548.71","6,541.09","6,580.44","6,506.41","162.33K","-0.54%"
"2021年5月19日","6,584.39","6,582.10","6,590.98","6,544.84","135.18K","-0.23%"
"2021年5月18日","6,599.60","6,578.97","6,604.69","6,558.78","132.51K","0.33%"
"2021年5月17日","6,578.14","6,521.89","6,613.89","6,521.89","159.36K","0.80%"
